,REVENUE,CROSS_SELL_SUCCESS,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CONTACTS_W_CUSTOMER_SERVICE,PRODUCT_CATEGORIES_VIEWED,AVG_TIME_PER_SITE_VISIT,MOBILE_NUMBER,CANCELLATIONS_BEFORE_NOON,CANCELLATIONS_AFTER_NOON,TASTES_AND_PREFERENCES,PC_LOGINS,MOBILE_LOGINS,WEEKLY_PLAN,EARLY_DELIVERIES,LATE_DELIVERIES,PACKAGE_LOCKER,REFRIGERATED_LOCKER,FOLLOWED_RECOMMENDATIONS_PCT,AVG_PREP_VID_TIME,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED,MEDIAN_MEAL_RATING,AVG_CLICKS_PER_VISIT,TOTAL_PHOTOS_VIEWED,m_FAMILY_NAME,junk,personal,professional,TOTAL_VID_PREP_TIME,MASTER_VID_PREP_TIME,LARGE_VID_PREP_TIME,GENERAL_MEAL_RATING,PERC_UNIQUE_MEALS,AVG_TIME_PER_CATEGORY,AVG_TIME_PER_CLICK,out_REVENUE,out_AVG_TIME_PER_SITE_VISIT,out_AVG_PREP_VID_TIME,out_TOTAL_MEALS_ORDERED,out_UNIQUE_MEALS_PURCH,out_CONTACTS_W_CUSTOMER_SERVICE,out_CANCELLATIONS_BEFORE_NOON,out_PC_LOGINS,out_MOBILE_LOGINS,out_LATE_DELIVERIES,out_LARGEST_ORDER_SIZE,out_TOTAL_PHOTOS_VIEWED,out_TOTAL_VID_PREP_TIME,out_MASTER_VID_PREP_TIME,out_LARGE_VID_PREP_TIME,out_GENERAL_MEAL_RATING,out_PERC_UNIQUE_MEALS,out_AVG_TIME_PER_CATEGORY,out_AVG_TIME_PER_CLICK,out_MASTER_CLASSES_ATTENDED,change_TOTAL_MEALS_ORDERED,change_CONTACTS_W_CUSTOMER_SERVICE,change_LARGEST_ORDER_SIZE,change_TOTAL_PHOTOS_VIEWED,change_CANCELLATIONS_AFTER_NOON,change_FOLLOWED_RECOMMENDATIONS_PCT,change_MASTER_CLASSES_ATTENDED,change_MEDIAN_MEAL_RATING,change_AVG_CLICKS_PER_VISIT
0,1880.0,1,118,4,7,5,86.0,1,2,1,0,6,2,8,0,2,1,0,90,165.8,6,1,3,11,0,0,1,0,0,19564.4,165.8,994.8000000000001,354,3.389830508474576,17.2,7.818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1495.0,1,44,3,6,3,125.6,1,0,1,0,6,1,8,0,4,1,0,90,150.5,4,1,3,13,90,0,0,0,1,6622.0,150.5,602.0,132,6.8181818181818175,41.86666666666667,9.661538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2572.5,1,38,1,5,3,58.0,1,5,0,1,6,2,14,0,0,0,0,80,99.6,3,0,3,12,0,0,0,1,0,3784.7999999999997,0.0,298.79999999999995,114,2.631578947368421,19.333333333333332,4.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1647.0,1,76,3,8,10,45.51,0,3,0,1,6,1,11,5,4,0,0,90,125.0,3,0,3,13,0,0,0,0,1,9500.0,0.0,375.0,228,3.9473684210526314,4.551,3.5007692307692304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,1923.0,1,65,3,6,9,106.0,1,1,1,0,6,2,12,0,4,1,0,90,135.3,3,1,3,13,253,0,0,0,1,8794.5,135.3,405.90000000000003,195,4.615384615384616,11.777777777777779,8.153846153846153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,1250.0,1,57,4,6,2,84.21,1,0,0,1,5,1,10,2,5,0,0,70,91.2,3,1,2,17,0,0,0,1,0,5198.400000000001,91.2,273.6,114,7.017543859649122,42.105,4.9535294117647055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,4665.0,1,106,3,10,8,110.0,1,3,0,0,6,2,7,0,3,0,0,70,263.3,6,2,4,10,705,0,0,0,1,27909.800000000003,526.6,1579.8000000000002,424,2.8301886792452833,13.75,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1690.0,1,122,6,8,10,92.73,1,1,0,1,5,1,8,0,3,0,0,70,160.0,5,1,3,13,0,0,0,1,0,19520.0,160.0,800.0,366,4.918032786885246,9.273,7.133076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8,1710.0,1,46,4,5,10,170.47,1,0,0,1,6,2,8,4,10,1,1,70,170.1,4,2,3,12,0,0,0,0,1,7824.599999999999,340.2,680.4,138,8.695652173913043,17.047,14.205833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,1770.0,1,58,4,6,5,79.58,1,0,1,1,6,2,2,3,7,1,1,90,191.3,7,1,3,12,0,0,0,1,0,11095.400000000001,191.3,1339.1000000000001,174,6.896551724137931,15.916,6.631666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
10,930.0,1,14,4,12,3,51.0,1,2,0,1,5,1,0,2,9,0,0,80,114.2,4,0,2,15,444,0,0,1,0,1598.8,0.0,456.8,28,28.57142857142857,17.0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11,1290.0,1,92,9,3,2,115.51,1,4,0,0,6,1,13,0,0,1,0,80,163.3,5,1,2,18,0,0,0,1,0,15023.6,163.3,816.5,184,9.782608695652174,57.755,6.417222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
12,4550.0,1,122,3,10,9,134.7,1,0,0,1,6,1,1,0,1,0,0,90,204.2,6,1,4,10,250,0,0,1,0,24912.399999999998,204.2,1225.1999999999998,488,2.459016393442623,14.966666666666665,13.469999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13,1190.0,1,37,4,5,3,31.0,1,0,0,1,5,1,13,2,1,0,0,90,128.8,3,1,2,17,0,0,0,1,0,4765.6,128.8,386.40000000000003,74,10.81081081081081,10.333333333333334,1.8235294117647058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,1425.0,1,50,5,7,8,26.04,1,2,0,0,5,1,13,0,3,0,0,90,105.5,2,0,2,18,0,0,0,1,0,5275.0,0.0,211.0,100,10.0,3.255,1.4466666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,1860.0,1,80,3,6,1,102.2,1,2,0,1,6,2,9,0,4,0,0,90,121.2,4,0,3,12,0,0,1,0,0,9696.0,0.0,484.8,240,3.75,102.2,8.516666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16,2662.5,1,91,5,9,10,67.5,1,2,0,1,5,1,11,0,4,0,0,90,192.9,5,1,3,12,0,0,1,0,0,17553.9,192.9,964.5,273,5.4945054945054945,6.75,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
17,1975.0,1,64,9,6,2,101.6,1,2,2,0,6,1,47,0,2,0,0,90,138.1,3,1,3,12,0,0,1,0,0,8838.4,138.1,414.29999999999995,192,14.0625,50.8,8.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
18,1275.0,1,31,7,6,1,231.29999999999998,1,2,0,1,5,2,0,0,3,0,0,90,106.9,2,1,3,14,0,0,0,1,0,3313.9,106.9,213.8,93,22.58064516129032,231.29999999999998,16.52142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
19,1650.0,1,67,8,8,6,34.8,1,3,0,0,5,1,2,7,0,0,0,80,120.0,3,0,3,11,0,0,0,1,0,8040.0,0.0,360.0,201,11.940298507462686,5.8,3.1636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,1479.0,1,43,3,5,5,72.18,1,2,1,1,5,1,0,5,0,1,1,70,222.8,6,0,3,14,0,0,1,0,0,9580.4,0.0,1336.8000000000002,129,6.976744186046512,14.436000000000002,5.155714285714287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
21,1399.0,1,38,5,6,7,81.75,1,3,0,1,5,1,0,0,4,1,1,90,114.4,4,0,3,12,136,0,1,0,0,4347.2,0.0,457.6,114,13.157894736842104,11.678571428571429,6.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,1470.0,1,133,3,7,3,24.08,1,0,0,1,6,2,12,9,1,1,0,90,132.2,4,1,3,15,0,0,0,1,0,17582.6,132.2,528.8,399,2.2556390977443606,8.026666666666666,1.6053333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
23,1775.0,1,59,2,8,8,76.13,0,3,2,1,5,3,6,9,4,0,0,80,145.6,5,0,3,13,16,0,0,0,1,8590.4,0.0,728.0,177,3.389830508474576,9.51625,5.856153846153846,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,1579.0,1,58,4,5,8,94.5,1,0,0,1,6,1,9,0,1,0,0,90,144.2,5,0,2,16,243,0,0,1,0,8363.599999999999,0.0,721.0,116,6.896551724137931,11.8125,5.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
25,2025.0,1,49,2,9,9,60.42,1,0,0,1,5,1,30,0,0,1,0,70,137.0,4,1,3,14,178,0,1,0,0,6713.0,137.0,548.0,147,4.081632653061225,6.713333333333334,4.315714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2812.5,1,90,5,9,2,51.89,1,2,0,1,4,2,1,0,1,1,1,70,161.6,3,1,3,12,0,0,0,0,1,14544.0,161.6,484.79999999999995,270,5.555555555555555,25.945,4.324166666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1679.0,1,100,6,6,7,106.6,0,5,0,1,6,2,1,1,2,0,0,90,161.1,5,0,3,14,360,0,0,1,0,16110.0,0.0,805.5,300,6.0,15.228571428571428,7.614285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
28,1789.0,1,71,5,5,1,102.8,1,1,0,1,5,2,12,4,6,0,0,90,151.0,4,0,3,14,268,0,1,0,0,10721.0,0.0,604.0,213,7.042253521126761,102.8,7.3428571428571425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
29,1917.0,1,84,4,5,9,109.13,1,0,0,1,5,2,3,4,2,0,0,80,182.0,5,0,3,11,0,0,1,0,0,15288.0,0.0,910.0,252,4.761904761904762,12.125555555555556,9.92090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
30,1865.0,1,49,2,7,6,104.61,1,0,0,1,6,2,13,7,3,0,0,70,179.2,6,1,3,14,318,0,0,1,0,8780.8,179.2,1075.1999999999998,147,4.081632653061225,17.435,7.472142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1740.0,1,72,3,6,1,127.89,1,0,0,1,5,2,16,0,0,0,0,90,148.4,6,1,3,12,0,0,0,1,0,10684.800000000001,148.4,890.4000000000001,216,4.166666666666666,127.89,10.6575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
32,3368.75,1,75,1,8,7,53.0,1,0,0,1,6,2,7,8,8,0,0,80,166.3,6,0,3,15,95,0,0,0,1,12472.5,0.0,997.8000000000001,225,1.3333333333333335,7.571428571428571,3.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,910.0,1,14,4,12,5,16.96,1,2,0,1,6,1,2,0,1,0,0,80,98.8,3,0,2,15,0,0,0,1,0,1383.2,0.0,296.4,28,28.57142857142857,3.3920000000000003,1.1306666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
34,1050.0,1,15,4,11,2,116.22,1,1,0,1,4,1,0,0,3,1,0,70,89.6,3,0,2,14,0,0,0,0,1,1344.0,0.0,268.79999999999995,30,26.666666666666668,58.11,8.301428571428572,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
35,1363.0,1,106,4,5,3,115.0,1,0,0,1,6,1,4,0,1,1,0,70,177.5,6,0,3,13,0,0,0,1,0,18815.0,0.0,1065.0,318,3.7735849056603774,38.333333333333336,8.846153846153847,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36,3540.0,1,178,6,10,1,90.92,1,0,0,0,6,2,12,0,1,0,0,90,180.3,4,2,3,13,0,0,1,0,0,32093.4,360.6,721.2,534,3.3707865168539324,90.92,6.993846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
37,995.0,1,13,8,11,1,78.92,1,1,0,1,5,1,3,0,4,0,0,90,91.8,3,1,2,17,0,0,0,1,0,1193.3999999999999,91.8,275.4,26,61.53846153846154,78.92,4.642352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
38,3975.0,1,114,4,8,2,140.94,1,1,0,1,5,2,35,1,5,1,0,70,169.4,3,1,3,11,450,0,0,1,0,19311.600000000002,169.4,508.20000000000005,342,3.508771929824561,70.47,12.812727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1465.0,1,45,9,5,3,103.2,1,2,0,1,5,2,0,1,6,0,0,80,152.1,6,0,4,10,0,0,0,1,0,6844.5,0.0,912.5999999999999,180,20.0,34.4,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,1890.0,1,120,6,10,4,48.71,0,0,1,1,5,1,10,4,5,0,0,70,122.8,3,1,3,14,0,1,0,0,1,14736.0,122.8,368.4,360,5.0,12.1775,3.4792857142857145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,1365.0,1,42,8,7,5,68.0,1,1,0,0,5,1,2,0,0,1,1,70,86.4,4,0,2,17,90,0,0,1,0,3628.8,0.0,345.6,84,19.047619047619047,13.6,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,975.0,1,14,6,11,3,59.52,1,1,0,1,6,2,9,0,9,0,0,90,186.4,7,0,1,16,188,0,0,0,1,2609.6,0.0,1304.8,14,42.857142857142854,19.84,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0
43,4210.5,1,82,4,8,5,114.16,1,1,0,1,6,1,0,0,7,1,0,70,172.0,6,1,4,11,364,0,0,1,0,14104.0,172.0,1032.0,328,4.878048780487805,22.832,10.378181818181817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1999.0,1,127,6,6,9,41.74,1,4,0,1,6,1,23,0,2,0,0,90,124.1,2,0,3,14,0,0,0,0,1,15760.699999999999,0.0,248.2,381,4.724409448818897,4.637777777777778,2.9814285714285718,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45,3195.0,1,61,5,8,2,163.58,1,5,0,0,5,2,0,0,1,0,0,80,153.0,5,1,3,14,16,0,1,0,0,9333.0,153.0,765.0,183,8.19672131147541,81.79,11.684285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
46,1450.0,1,56,2,5,3,89.0,1,2,1,1,6,1,24,0,2,0,0,90,131.4,3,0,2,16,0,0,0,1,0,7358.400000000001,0.0,394.20000000000005,112,3.571428571428571,29.666666666666668,5.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
47,1655.0,1,98,3,3,3,110.52,1,3,0,0,6,1,2,4,0,0,0,70,170.0,4,1,3,14,0,0,0,1,0,16660.0,170.0,680.0,294,3.061224489795918,36.839999999999996,7.894285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,4695.0,1,94,8,10,6,76.32,1,0,0,1,6,1,21,0,5,1,0,90,180.0,4,1,4,11,714,0,0,1,0,16920.0,180.0,720.0,376,8.51063829787234,12.719999999999999,6.938181818181818,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,1360.0,1,74,3,5,3,108.73,1,0,0,1,6,2,0,0,4,0,0,70,183.2,6,0,1,16,72,0,0,1,0,13556.8,0.0,1099.1999999999998,74,4.054054054054054,36.24333333333333,6.795625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
50,1680.0,1,56,3,6,10,94.64,0,1,0,1,6,1,0,4,8,0,0,80,157.2,5,1,3,14,0,0,0,0,1,8803.199999999999,157.2,786.0,168,5.357142857142857,9.464,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
51,1560.0,1,49,8,4,8,107.89,1,2,0,1,5,2,30,6,4,0,0,70,107.3,4,0,3,12,168,0,0,1,0,5257.7,0.0,429.2,147,16.3265306122449,13.48625,8.990833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8715.0,1,118,1,9,5,38.0,1,0,0,0,6,1,0,0,4,1,1,90,188.4,5,1,4,11,296,0,0,0,1,22231.2,188.4,942.0,472,0.847457627118644,7.6,3.4545454545454546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
53,2012.5,1,67,1,4,8,31.0,1,2,0,1,6,2,6,9,2,0,0,80,130.4,2,1,2,16,0,1,0,0,1,8736.800000000001,130.4,260.8,134,1.4925373134328357,3.875,1.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,2527.5,1,105,4,6,8,128.42,1,3,0,0,4,2,19,0,1,0,0,80,177.1,4,0,3,11,128,0,0,1,0,18595.5,0.0,708.4,315,3.8095238095238098,16.0525,11.674545454545454,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2616.25,1,64,1,7,1,49.0,1,1,0,1,6,1,17,0,0,0,0,80,120.0,2,0,3,15,0,0,0,0,1,7680.0,0.0,240.0,192,1.5625,49.0,3.2666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,1700.0,1,38,2,6,10,133.01,1,6,0,0,6,1,8,0,5,1,0,90,122.0,4,1,3,13,176,0,0,1,0,4636.0,122.0,488.0,114,5.263157894736842,13.300999999999998,10.231538461538461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,3517.5,1,238,4,6,7,112.45,1,2,0,1,5,1,9,2,2,0,0,80,157.5,5,1,4,9,504,0,1,0,0,37485.0,157.5,787.5,952,1.680672268907563,16.064285714285713,12.494444444444445,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
58,4065.0,1,94,4,9,5,110.33,1,3,0,1,6,1,0,0,2,0,0,70,168.0,6,1,4,10,242,0,0,1,0,15792.0,168.0,1008.0,376,4.25531914893617,22.066,11.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2887.5,1,54,7,6,10,38.84,1,4,0,1,5,1,12,0,0,0,0,90,150.1,4,1,3,13,340,0,0,0,1,8105.4,150.1,600.4,162,12.962962962962962,3.8840000000000003,2.987692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,1375.0,1,72,7,4,8,119.95,1,1,1,1,6,1,9,0,0,1,0,80,88.9,4,0,3,12,0,0,0,0,1,6400.8,0.0,355.6,216,9.722222222222223,14.99375,9.995833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,1789.0,1,55,2,6,10,72.0,1,1,0,0,6,1,11,0,5,1,0,80,187.7,6,1,3,15,0,0,0,0,1,10323.5,187.7,1126.1999999999998,165,3.6363636363636362,7.2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
62,1688.75,1,14,1,11,3,88.0,1,3,0,1,6,2,0,0,1,0,0,90,114.0,5,0,1,16,0,0,0,1,0,1596.0,0.0,570.0,14,7.142857142857142,29.333333333333332,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
63,1280.0,1,100,7,4,9,169.99,1,0,0,0,4,1,12,0,1,0,0,80,91.4,2,0,2,17,0,0,0,1,0,9140.0,0.0,182.8,200,7.000000000000001,18.887777777777778,9.999411764705883,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,1210.0,1,46,3,6,4,90.54,1,2,1,0,6,2,5,3,2,0,0,70,95.2,2,1,2,17,0,0,0,1,0,4379.2,95.2,190.4,92,6.521739130434782,22.635,5.325882352941177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,1350.0,1,61,6,6,7,211.86,1,0,0,0,5,1,0,2,0,0,0,70,127.1,5,1,2,15,0,0,0,1,0,7753.099999999999,127.1,635.5,122,9.836065573770492,30.26571428571429,14.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
66,1120.0,1,28,7,5,9,43.75,1,2,2,0,5,2,11,0,3,1,0,80,80.8,3,0,2,15,0,0,0,0,1,2262.4,0.0,242.39999999999998,56,25.0,4.861111111111111,2.9166666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,1170.0,1,34,3,7,3,68.0,1,1,0,1,6,2,48,0,3,1,1,90,134.8,3,1,2,17,0,0,0,0,1,4583.200000000001,134.8,404.40000000000003,68,8.823529411764707,22.666666666666668,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
68,4567.5,1,55,1,7,1,53.0,1,3,0,0,6,1,0,0,4,1,1,90,147.8,5,1,3,15,432,0,0,0,1,8129.000000000001,147.8,739.0,165,1.8181818181818181,53.0,3.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
69,3112.5,1,91,8,7,8,106.4,1,0,0,1,6,1,2,0,0,1,0,70,279.2,6,2,3,11,0,0,0,1,0,25407.2,558.4,1675.1999999999998,273,8.791208791208792,13.3,9.672727272727274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
